Number;FieldOfResearch;Level;LevelA_Number;LevelA_FieldOfResearch;LevelB_Number;LevelB_FieldOfResearch;FieldOfResearchVersion;Level1_Number;Level1_Discipline;Level2_Number;Level2_Discipline;Level3_Number;Level3_Discipline
47;Language, Communication and Culture;1;47;Language, Communication and Culture;NA;NA;ANZSRC 2020;10000;Humanities and Social Sciences;NA;NA;NA;NA
3203;Dentistry;2;32;Biomedical and Clinical Sciences;3203;Dentistry;ANZSRC 2020;30000;Biology and Medicine;30700;Clinical Medicine;30711;Dentistry
3404;Medicinal and biomolecular chemistry;2;34;Chemical Sciences;3404;Medicinal and biomolecular chemistry;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20300;Chemistry;20304;Organic Chemistry
4015;Maritime engineering;2;40;Engineering;4015;Maritime engineering;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20511;Other disciplines of Engineering Sciences
3004;Crop and pasture production;2;30;Agricultural, Veterinary and Food Sciences;3004;Crop and pasture production;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20700;Environmental Sciences;20709;Other disciplines of Environmental Sciences
35;Commerce, Management, Tourism and Services;1;35;Commerce, Management, Tourism and Services;NA;NA;ANZSRC 2020;10000;Humanities and Social Sciences;10700;Economics, law;NA;NA
5107;Particle and high energy physics;2;51;Physical Sciences;5107;Particle and high energy physics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20400;Physics;20403;Particle Physics
3205;Medical biochemistry and metabolomics;2;32;Biomedical and Clinical Sciences;3205;Medical biochemistry and metabolomics;ANZSRC 2020;30000;Biology and Medicine;30300;Basic Medical Sciences;NA;NA
4699;Other information and computing sciences;2;46;Information and Computing Sciences;4699;Other information and computing sciences;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20506;Information Technology
3503;Business systems in context;2;35;Commerce, Management, Tourism and Services;3503;Business systems in context;ANZSRC 2020;10000;Humanities and Social Sciences;10700;Economics, law;NA;NA
4601;Applied computing;2;46;Information and Computing Sciences;4601;Applied computing;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20500;Engineering Sciences;20506;Information Technology
4102;Ecological applications;2;41;Environmental Sciences;4102;Ecological applications;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20700;Environmental Sciences;20709;Other disciplines of Environmental Sciences
3902;Education policy, sociology and philosophy;2;39;Education;3902;Education policy, sociology and philosophy;ANZSRC 2020;10000;Humanities and Social Sciences;10500;Psychology, educational studies;10104;Education and learning sciences, subject-specific education
4202;Epidemiology;2;42;Health Sciences;4202;Epidemiology;ANZSRC 2020;30000;Biology and Medicine;30800;Preventive Medicine (Epidemiology/Early Diagnosis/Prevention);30812;Methods of Epidemiology and Preventive Medicine
4903;Numerical and computational mathematics;2;49;Mathematical Sciences;4903;Numerical and computational mathematics;ANZSRC 2020;20000;Mathematics, Natural- and Engineering Sciences;20100;Mathematics;NA;NA
4399;Other history, heritage and archaeology;2;43;History, Heritage and Archaeology;4399;Other history, heritage and archaeology;ANZSRC 2020;10000;Humanities and Social Sciences;10100;Theology & religious studies, history, classical studies, archaeology, prehistory and early history;10401;Prehistory
